filename,condition_vision,condition_movement,trial,window_idx,window_start,window_end,var1,var2,variable_pair_type,max_mutual_info,optimal_lag_mi,n_samples,sampling_rate
NoVisionMovement_Trial0.csv,NoVision,Movement,0,6,6.0,11.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.7121808341479726,0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,7,7.0,12.0,Amplitude_Envelope_P1,right_index_x_P2,Between_Participants_Cross_Audio_Motion,0.5872389454998704,0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,0,0.0,5.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.4193975050240691,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,1,1.0,6.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.4978571558198769,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,2,2.0,7.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.4936584687113451,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,3,3.0,8.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.42881521738873063,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,4,4.0,9.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.5023966436848574,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,5,5.0,10.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.34206965441978826,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,6,6.0,11.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.2837827131190864,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,7,7.0,12.0,Amplitude_Envelope_P1,right_index_y_P2,Between_Participants_Cross_Audio_Motion,0.2975227655674416,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,0,0.0,5.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.45637031525928,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,1,1.0,6.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.5966018124352708,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,2,2.0,7.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.580868267040044,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,3,3.0,8.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.4713601339854044,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,4,4.0,9.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.3605215533751941,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,5,5.0,10.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.44624363731823685,0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,6,6.0,11.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.6397086582544681,0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,7,7.0,12.0,Amplitude_Envelope_P1,right_index_z_P2,Between_Participants_Cross_Audio_Motion,0.556794138997827,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,0,0.0,5.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.532013394155129,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,1,1.0,6.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.5797197840146915,-0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,2,2.0,7.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.2591347413026654,-0.1,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,3,3.0,8.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.219270584200028,0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,4,4.0,9.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.22545045071769546,0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,5,5.0,10.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.3768708328070957,0.2,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,6,6.0,11.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.8085330183615468,0.0,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,7,7.0,12.0,Filtered_ECG_P1,Amplitude_Envelope_P2,Between_Participants_Cross_ECG_Audio,0.8311172973667046,-0.3,5001,1000.0
NoVisionMovement_Trial0.csv,NoVision,Movement,0,0,0.0,5.0,Filtered_ECG_P1,Filtered_ECG_P2,Between_Participants_Same_ECG,0.5616166528712914,-0.2,5001,1000.0
