Time,Amplitude_Envelope_P1,Amplitude_Envelope_P2,Filtered_ECG_P1,Filtered_ECG_P2,Filtered_Respiration_P1,Filtered_Respiration_P2,Filtered_EMG_Bicep_P1,Filtered_EMG_Tricep_P1,Filtered_EMG_Bicep_P2,Filtered_EMG_Tricep_P2,right_index_x_P1,right_index_y_P1,right_index_z_P1,right_index_x_P2,right_index_y_P2,right_index_z_P2,ConditionVision,ConditionMovement,Trial
0.052000000000000005,0.006478496338667378,0.008038705859616076,75.54636208292115,63.69990268070424,0.11261781872383243,12.818322675296477,0.005316046913577878,0.004532216042159692,0.013363219796458277,0.004649580401628685,-595.6917672568064,3588.4168666480787,612.8181081902356,439.71642671822656,3428.3086061798585,-87.62554494266567,Vision,Movement,2
0.053,0.006478231970749475,0.008037974276593076,75.54636208292115,63.69990268070424,0.1131165593448551,12.817641368770683,0.005403315082657042,0.004587957106111382,0.013893521734698464,0.0046510910629135324,-595.7325218337321,3588.5296907704483,612.85219638656,439.4814307558471,3428.305854412037,-87.35322019312508,Vision,Movement,2
0.054,0.006477980090564696,0.00803688541196694,75.54636208292115,63.69990268070424,0.11361646047905335,12.81694123871347,0.005492855683876374,0.004642730294149243,0.014411004257531638,0.004649354684323292,-595.7732764106577,3588.6425148928183,612.8862845828843,439.2464347934676,3428.303102644216,-87.0808954435845,Vision,Movement,2
0.055,0.006477740586418334,0.008035473287762222,75.54636208292115,63.69990268070424,0.1141175182821907,12.816222191757014,0.0055836816635945795,0.00469584392020898,0.014908608723865143,0.004643758765812801,-595.8140309875834,3588.755339015188,612.9203727792087,439.0114388310881,3428.3003508763945,-86.8085706940439,Vision,Movement,2
0.056,0.006477513308134315,0.008033769917948326,75.54636208292115,63.69990268070424,0.11461972888539694,12.815484134604596,0.005674782874065211,0.004746664842758808,0.015379512880850871,0.004633838583707361,-595.8547855645089,3588.868163137558,612.954460975533,438.77644286870867,3428.2975991085736,-86.5362459445033,Vision,Movement,2
0.057,0.006477298070788448,0.008031805567911514,75.54636208292115,63.69990268070424,0.11512308839567888,12.814726974037136,0.005765140521211098,0.004794623670157922,0.01581722876947464,0.004619292353142342,-595.8955401414345,3588.9809872599276,612.9885491718574,438.5414469063292,3428.2948473407523,-86.26392119496272,Vision,Movement,2
0.058,0.006477094658250798,0.008029609002836568,75.54636208292115,63.69990268070424,0.11562759289380821,12.81395061691323,0.005853741471576821,0.004839219335276268,0.01621569401400671,0.00459999283826709,-595.9362947183602,3589.0938113822976,613.0226373681818,438.3064509439497,3428.292095572931,-85.99159644542213,Vision,Movement,2
0.059000000000000004,0.0064769028265412466,0.008027207494790248,75.54636208292115,63.69990268070424,0.11613323843931077,12.813154970172443,0.005939592063336648,0.004880022973224579,0.016569355437142445,0.004575994940098994,-595.9770492952857,3589.2066355046672,613.0567255645061,438.07145498157024,3428.28934380511,-85.71927169588155,Vision,Movement,2
0.06,0.006476722306999667,0.008024626977808348,75.54636208292115,63.69990268070424,0.11664002106428084,12.812339940837951,0.006021731044146969,0.004916681027609549,0.016873244514985782,0.004547538838898156,-596.0178038722113,3589.319459627037,613.0908137608304,437.8364590191908,3428.2865920372888,-85.44694694634094,Vision,Movement,2
0.061,0.0064765528092772025,0.00802189219442598,75.54636208292115,63.69990268070424,0.11714793677886136,12.811505436019905,0.006099241323412101,0.004948917544748137,0.01712304469841312,0.004515048398095682,-596.058558449137,3589.432283749407,613.1249019571549,437.6014630568113,3428.2838402694674,-85.17462219680036,Vision,Movement,2
0.062,0.006476394024149744,0.008019026560266086,75.54636208292115,63.69990268070424,0.11765698156728388,12.810651362915092,0.0061712603385047915,0.0049765356732623806,0.01731515087054871,0.004479124736484114,-596.0951084668776,3589.5344669497076,613.1592878077386,437.3664670944318,3428.2810885016465,-84.90229744725977,Vision,Movement,2
0.063,0.006476245626160815,0.008016052131590788,75.54636208292115,63.69990268070424,0.1181671513911241,12.80977762881409,0.006236988965132173,0.004999418423688866,0.017446721108394844,0.004440535102286422,-596.1218759677208,3589.6118925011397,613.1943661941375,437.14740735343446,3428.327410825162,-84.59716511362626,Vision,Movement,2
0.064,0.006476107276096964,0.008012989662822458,75.54636208292115,63.69990268070424,0.11867844218757553,12.80888414110094,0.006295698982634203,0.005017528691261884,0.01751572056550444,0.004400197376088557,-596.1486434685639,3589.6893180525717,613.2294445805363,436.93383861061784,3428.3906421599045,-84.28072857052868,Vision,Movement,2
0.065,0.006475978623301451,0.008009858770241995,75.54636208292115,63.69990268070424,0.11919084986999696,12.807970807257314,0.006346739147036562,0.005030908414019812,0.017520956773752965,0.004359160666652201,-596.1754109694072,3589.7667436040033,613.2645229669353,436.72026986780116,3428.4538734946464,-83.96429202743111,Vision,Movement,2
0.066,0.006475859307831445,0.008006677665684081,75.54636208292115,63.69990268070424,0.119704370328004,12.807037534861921,0.006389539935217607,0.0050396765803332015,0.017462105113559074,0.0043185825748709335,-596.2021784702503,3589.8441691554353,613.2996013533341,436.50670112498455,3428.5171048293887,-83.64785548433355,Vision,Movement,2
0.067,0.006475748962464022,0.008003463038081884,75.54636208292115,63.69990268070424,0.12021899942756917,12.806084231598081,0.0064236170283250285,0.005044025697925862,0.01733972278911687,0.004279703829726384,-596.2289459710935,3589.9215947068674,613.334679739733,436.2931323821679,3428.5803361641306,-83.33141894123598,Vision,Movement,2
0.068,0.006475647214556863,0.008000230321178138,75.54636208292115,63.69990268070424,0.120734733011541,12.805110805253094,0.00644857361894578,0.005044216360907589,0.01715524959138254,0.004243821119433905,-596.2557134719366,3589.9990202582994,613.3697581261318,436.0795636393513,3428.643567498873,-83.01498239813841,Vision,Movement,2
0.069,0.006475553687768457,0.007996993699669955,75.54636208292115,63.69990268070424,0.12125156689750329,12.804117163721731,0.006464101684761018,0.005040569721776628,0.016910994102658783,0.004212258997431421,-596.2824809727798,3590.0764458097315,613.4048365125308,435.86599489653463,3428.706798833615,-82.69854585504085,Vision,Movement,2
0.07,0.0064754680036457095,0.007993766061586798,75.54636208292115,63.69990268070424,0.12176949688285944,12.803103215008882,0.006469982467828561,0.005033457926657731,0.016610104568320145,0.004186341705178553,-596.309248473623,3590.1538713611635,613.4399148989296,435.652426153718,3428.770030168357,-82.38210931194328,Vision,Movement,2
0.07100000000000001,0.006475389783081543,0.007990559151371287,75.54636208292115,63.69990268070424,0.12228851873852974,12.802068867233112,0.00646608645944512,0.005023292801574218,0.016256524134397776,0.0041673656475189206,-596.3360159744661,3590.2312969125956,613.4749932853285,435.4388574109014,3428.833261503099,-82.06567276884572,Vision,Movement,2
